route,product_area,entry_modes,navigated_by,current_return_mechanism,expected_return_semantic,visible_affordance,system_back_effective,deeplink_fallback,context_preservation,mobile_viable,classification,required_correction,widget,file
/_boot,machinery/gate,in-app|deep-link,not-navigated-by-literal,go(fixed),governed by RC4 destination continuity,no,unknown,n/a,ok,yes,PROTECTED_BOUNDARY,auth/boot machinery,_RouterBootScreen,lib/router.dart
/,other,in-app|deep-link,go=11,go(fixed),ROOT_NO_RETURN,no,no — reached by go(),n/a,ok,yes,ROOT_NO_RETURN_REQUIRED,primary destination,PublicHomeScreen,lib/features/home/presentation/public_home_screen.dart
/auth,machinery/gate,in-app|deep-link,go=1,none,n/a,no,no — reached by go(),n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/public,other,in-app|deep-link,go=3,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,PublicHomeScreen,lib/features/home/presentation/public_home_screen.dart
/mission,other,in-app|deep-link,go=4,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,MissionScreen,lib/screens/mission_screen.dart
/white-paper,other,in-app|deep-link,go=3,own back icon; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,no — reached by go(),n/a,unknown,yes,HARDCODED_PARENT_RETURN,back-looking control navigates to a FIXED path,WhitePaperScreen,lib/screens/white_paper_screen.dart
/founder,other,in-app|deep-link,go=1,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,FounderMessageScreen,lib/screens/founder_message_screen.dart
/privacy,other,in-app|deep-link,go=2,none,PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,PrivacyPolicyScreen,lib/screens/privacy_policy_screen.dart
/terms,other,in-app|deep-link,go=1,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,TermsScreen,lib/screens/terms_screen.dart
/child-safety,other,in-app|deep-link,not-navigated-by-literal,go(fixed),PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,ChildSafetyScreen,lib/screens/child_safety_screen.dart
/safety,other,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/trust-safety,other,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/contact,other,in-app|deep-link,not-navigated-by-literal,go(fixed),PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,ContactScreen,lib/screens/contact_screen.dart
/support/agent,other,in-app|deep-link,go=6,none,PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,SupportAgentScreen,lib/features/support/presentation/support_agent_screen.dart
/account-deletion,other,in-app|deep-link,go=1,AppBar; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,no — reached by go(),n/a,unknown,yes,HARDCODED_PARENT_RETURN,back-looking control navigates to a FIXED path,AccountDeletionScreen,lib/screens/account_deletion_screen.dart
/investors,other,in-app|deep-link,go=1,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,InvestorsHubScreen,lib/screens/investors_hub_screen.dart
/institutions,institution,in-app|deep-link,go=4 push=2,none,PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,InstitutionsHubScreen,lib/screens/institutions_hub_screen.dart
/institutions/get-started,institution,in-app|deep-link,not-navigated-by-literal,own back icon; pop() UNGUARDED; go(fixed),STACK_RETURN needs a PARENT_RETURN fallback,yes,unknown,n/a,unknown,NO,WRONG_RETURN_SEMANTICS,affordance pops without checking the stack,InstitutionOnboardingWizard,lib/features/institutions/wizard/institution_onboarding_wizard.dart
/institutions/sector/:classId,institution,in-app|deep-link|notification|external-link,push=1,own back icon; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,yes,yes,unknown,yes,HARDCODED_PARENT_RETURN,back-looking control navigates to a FIXED path,InstitutionSectorScreen,lib/features/public/presentation/institution_sector_screen.dart
/institutions/:slug,institution,in-app|deep-link|notification|external-link,go=4 push=12,own back icon; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,yes,yes,unknown,yes,HARDCODED_PARENT_RETURN,back-looking control navigates to a FIXED path,InstitutionDetailScreen,lib/features/institutions/presentation/institution_detail_screen.dart
/institutions/:slug/units,institution,in-app|deep-link|notification|external-link,push=1,own back icon,STACK_RETURN,yes,yes,yes,ok,yes,COMPLIANT,own affordance,PublicInstitutionUnitsScreen,lib/features/public/presentation/public_institution_units_screen.dart
/institutions/:slug/units/:unitSlug,institution,in-app|deep-link|notification|external-link,push=1,own back icon,STACK_RETURN,yes,yes,yes,ok,yes,COMPLIANT,own affordance,PublicUnitDetailScreen,lib/features/public/presentation/public_unit_detail_screen.dart
/institution/sign-in,institution,in-app|deep-link,go=2,none,n/a,no,no — reached by go(),n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/institution/create,institution,in-app|deep-link,not-navigated-by-literal,none,n/a,no,unknown,n/a,ok,yes,NOT_A_SURFACE,redirect-only route,,
/patrons,other,in-app|deep-link,go=1,go(fixed),PARENT_RETURN,no,no — reached by go(),n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,PatronsHubScreen,lib/screens/patrons_hub_screen.dart
/supporters,other,in-app|deep-link,not-navigated-by-literal,go(fixed),PARENT_RETURN,no,unknown,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,SupportersHubScreen,lib/screens/supporters_hub_screen.dart
/announcements,publication,in-app|deep-link,go=3 push=1,go(fixed),PARENT_RETURN,no,yes,n/a,unknown,NO,MISSING_RETURN_PATH,child destination with no product-owned return,AnnouncementsScreen,lib/features/announcements/presentation/announcements_screen.dart
/announcements/create,publication,in-app|deep-link,go=1,own back icon; pop()+canPop; go(fixed),STACK_RETURN with PARENT_RETURN fallback,yes,no — reached by go(),n/a,ok,yes,COMPLIANT,own affordance + stack-aware pop,AnnouncementEditorScreen,lib/features/announcements/presentation/announcement_editor_screen.dart
