route,sample,renders,protected,deeplink_semantic,deeplink_destination,in_app_semantic,affordance,verdict
/_boot,/_boot,true,true,deepLinkFallback,/home,stackReturn,true,PROTECTED_BOUNDARY
/,/,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/auth,/auth,false,true,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/public,/public,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/mission,/mission,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/white-paper,/white-paper,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/founder,/founder,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/privacy,/privacy,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/terms,/terms,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/child-safety,/child-safety,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/safety,/safety,false,false,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/trust-safety,/trust-safety,false,false,deepLinkFallback,/home,stackReturn,true,NOT_A_SURFACE
/contact,/contact,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/support/agent,/support/agent,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/account-deletion,/account-deletion,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/investors,/investors,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/institutions,/institutions,true,false,deepLinkFallback,/discover,stackReturn,true,COMPLIANT
/institutions/get-started,/institutions/get-started,true,false,flowCancel,/institutions,flowCancel,true,COMPLIANT
/institutions/sector/:classId,/institutions/sector/x-classid,true,false,parentReturn,/institutions/sector,stackReturn,true,COMPLIANT
/institutions/:slug,/institutions/x-slug,true,false,parentReturn,/institutions,stackReturn,true,COMPLIANT
/institutions/:slug/units,/institutions/x-slug/units,true,false,parentReturn,/institutions/x-slug,stackReturn,true,COMPLIANT
/institutions/:slug/units/:unitSlug,/institutions/x-slug/units/x-unitslug,true,false,parentReturn,/institutions/x-slug/units,stackReturn,true,COMPLIANT
/institution/sign-in,/institution/sign-in,false,true,deepLinkFallback,/institution/sign-in/explore,stackReturn,true,NOT_A_SURFACE
/institution/create,/institution/create,false,false,flowCancel,/institution/create/explore,flowCancel,true,NOT_A_SURFACE
/patrons,/patrons,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/supporters,/supporters,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/announcements,/announcements,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
/announcements/create,/announcements/create,true,false,flowCancel,/home,flowCancel,true,COMPLIANT
/announcements/:slug,/announcements/x-slug,true,false,parentReturn,/announcements,stackReturn,true,COMPLIANT
/meet/:slug,/meet/x-slug,true,false,deepLinkFallback,/me,stackReturn,true,COMPLIANT
/meet/:slug/book,/meet/x-slug/book,true,false,flowCancel,/me,flowCancel,true,COMPLIANT
/search,/search,true,false,deepLinkFallback,/discover,stackReturn,true,COMPLIANT
/discover,/discover,true,false,rootNoReturn,,rootNoReturn,false,ROOT_NO_RETURN_REQUIRED
/posts/:id,/posts/x-id,true,false,deepLinkFallback,/home,stackReturn,true,COMPLIANT
