file,line,kind,full_height,dismiss_evidence,barrier_dismissible_false
lib/core/compliance/report_content_sheet.dart,54,showModalBottomSheet,True,False,False
lib/core/engagement/aura_engagement_bar.dart,72,showModalBottomSheet,False,False,False
lib/core/media/aura_media_viewer.dart,77,showDialog,False,True,False
lib/core/tagging/governed_tag_field.dart,255,OverlayEntry,False,False,False
lib/core/translation/communication_translate_action.dart,95,showModalBottomSheet,False,False,False
lib/features/admin/presentation/admin_institutions_screen.dart,827,showDialog,False,True,False
lib/features/admin/presentation/admin_institution_members_screen.dart,89,showDialog,False,False,False
lib/features/admin/presentation/admin_institution_members_screen.dart,161,showDialog,False,True,False
lib/features/admin/presentation/admin_moderation_screen.dart,95,showModalBottomSheet,True,False,False
lib/features/admin/presentation/admin_person_verification_sheet.dart,35,showModalBottomSheet,True,False,False
lib/features/admin/presentation/admin_person_verification_sheet.dart,355,showDialog,False,False,False
lib/features/admin/presentation/admin_person_verification_sheet.dart,484,showDialog,False,True,False
lib/features/ai_safety/presentation/ai_response_report_sheet.dart,35,showModalBottomSheet,True,False,False
lib/features/announcements/presentation/announcement_detail_screen.dart,110,showModalBottomSheet,False,False,False
lib/features/articles/presentation/article_screen.dart,254,showDialog,False,True,False
lib/features/articles/presentation/article_screen.dart,309,showDialog,False,True,False
lib/features/conversation/presentation/add_people_sheet.dart,21,showModalBottomSheet,True,True,False
lib/features/conversation/presentation/conversation_row_actions.dart,176,showModalBottomSheet,False,False,False
lib/features/conversation/presentation/conversation_row_actions.dart,87,showDialog,False,True,False
lib/features/conversation/presentation/conversation_row_actions.dart,134,showDialog,False,True,False
lib/features/conversation/presentation/conversation_screen.dart,477,showModalBottomSheet,False,False,False
lib/features/conversation/presentation/conversation_screen.dart,681,showModalBottomSheet,False,False,False
lib/features/conversation/presentation/conversation_screen.dart,424,showDialog,False,True,False
lib/features/conversation/presentation/conversation_screen.dart,950,showDialog,False,True,False
lib/features/conversation/presentation/message_interactions.dart,330,showModalBottomSheet,False,False,False
lib/features/conversation/presentation/message_interactions.dart,190,showDialog,False,True,False
lib/features/create/presentation/create_hub_screen.dart,74,showDialog,False,True,False
lib/features/devices/presentation/devices_screen.dart,59,showDialog,False,True,False
lib/features/feed/presentation/feed_interaction_bar.dart,233,showDialog,False,True,False
lib/features/institutions/announcements/institution_announcements_screen.dart,146,showDialog,False,True,False
lib/features/institutions/announcements/integrity/announcement_integrity_review_sheet.dart,29,showModalBottomSheet,True,False,False
lib/features/institutions/domain/institution_domains_screen.dart,209,showDialog,False,True,False
lib/features/institutions/engagement/engagement_detail_screen.dart,244,showModalBottomSheet,True,False,False
lib/features/institutions/live_rooms/institution_live_rooms_screen.dart,141,showModalBottomSheet,True,False,False
lib/features/institutions/participation/participation_screen.dart,94,showModalBottomSheet,True,False,False
lib/features/institutions/participation/participation_screen.dart,468,showDialog,False,True,False
lib/features/institutions/posts/institution_post_composer_screen.dart,521,showDialog,False,True,False
lib/features/institutions/posts/institution_post_detail_screen.dart,113,showDialog,False,True,False
lib/features/institutions/posts/integrity/institution_post_integrity_review_sheet.dart,26,showModalBottomSheet,True,False,False
lib/features/institutions/presentation/institution_invites_screen.dart,142,showDialog,False,True,False
lib/features/institutions/presentation/institution_members_screen.dart,485,showDialog,False,True,False
lib/features/institutions/presentation/institution_members_screen.dart,532,showDialog,False,True,False
lib/features/institutions/presentation/institution_spaces_screen.dart,188,showDialog,False,True,False
lib/features/institutions/spaces/institution_space_screen.dart,112,showModalBottomSheet,True,True,False
lib/features/institutions/units/institution_units_screen.dart,125,showModalBottomSheet,True,True,False
lib/features/institutions/wizard/institution_onboarding_wizard.dart,476,showDialog,False,True,False
lib/features/me/presentation/edit_profile_screen.dart,1158,showDialog,False,True,False
lib/features/me/presentation/me_screen.dart,308,showDialog,False,True,False
lib/features/me/presentation/me_screen.dart,469,showDialog,False,True,False
lib/features/me/presentation/security_screen.dart,94,showDialog,False,True,False
lib/features/me/presentation/security_screen.dart,135,showDialog,False,True,False
lib/features/meetings/presentation/create_meeting_screen.dart,207,showDialog,False,True,False
lib/features/meetings/presentation/institution_availability_screen.dart,84,showDialog,False,False,False
lib/features/meetings/presentation/institution_availability_screen.dart,207,showDialog,False,False,False
lib/features/meetings/presentation/institution_availability_screen.dart,372,showDialog,False,True,False
lib/features/meetings/presentation/institution_availability_screen.dart,382,showDialog,False,True,False
lib/features/meetings/presentation/institution_availability_screen.dart,557,showDialog,False,False,False
lib/features/meetings/presentation/meetings_home_screen.dart,298,showDialog,False,True,False
lib/features/meetings/presentation/meeting_detail_screen.dart,272,showDialog,False,True,False
lib/features/meetings/presentation/meeting_detail_screen.dart,426,showDialog,False,True,False
lib/features/meetings/presentation/meeting_live_room_screen.dart,600,showModalBottomSheet,False,True,False
lib/features/meetings/presentation/meeting_live_room_screen.dart,691,showModalBottomSheet,False,True,False
lib/features/meetings/presentation/meeting_live_room_screen.dart,951,showModalBottomSheet,True,False,False
lib/features/meetings/presentation/meeting_live_room_screen.dart,3302,showDialog,False,True,False
lib/features/meetings/presentation/widgets/meeting_assets_section.dart,79,showDialog,False,True,False
